Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
01/02/2021 15:27:01,AG,BUY,9,22.26,200.34,USD,1.2098569233
01/02/2021 15:29:00,NVAX,BUY,0.73553749,271.91,200.00,USD,1.2098169151
01/02/2021 15:29:18,SPWR,BUY,5,47.60,238.00,USD,1.2098719268
01/02/2021 15:30:26,MRNA,BUY,1.2,164.19,197.03,USD,1.2099419410
01/02/2021 16:15:27,AMC,SELL,10,14.52,145.20,USD,1.2078465211
02/02/2021 17:15:40,BB,SELL,5,11.67,58.36,USD,1.2026654851
02/02/2021 17:16:14,AMC,SELL,2,8.04,16.08,USD,1.2024654451
02/02/2021 17:16:54,AG,BUY,3,17.40,52.20,USD,1.2023104146
03/02/2021 14:32:20,ROKU,BUY,0.47041113,425.16,200.00,USD,1.2027805091
03/02/2021 22:23:27,,CASH TOP-UP,,,1000.00,USD,1.2034806485
04/02/2021 14:31:11,BILI,BUY,1.33333333,150.00,200.00,USD,1.1987497027
04/02/2021 14:31:15,TIGR,BUY,8.23384108,24.29,200.00,USD,1.1987832866
04/02/2021 14:31:34,AMD,BUY,2.2652622,88.29,200.00,USD,1.1986346791
04/02/2021 14:32:49,FVRR,BUY,0.81109579,246.58,200.00,USD,1.1987096950
05/02/2021 14:30:40,SPWR,SELL,2,40.27,80.54,USD,1.2019103341
05/02/2021 14:32:35,SQ,BUY,0.83857442,238.50,200.00,USD,1.2017002930
05/02/2021 16:33:47,SPWR,BUY,2,42.35,84.70,USD,1.2028719318
08/02/2021 14:42:31,BB,SELL,5,14.18,70.90,USD,1.2065066436
09/02/2021 14:40:38,AMC,SELL,8,5.56,44.48,USD,1.2095918705
09/02/2021 14:40:57,AG,SELL,12,16.83,201.97,USD,1.2096068732
09/02/2021 14:43:44,GOOGL,BUY,0.04793542,2086.14,100.00,USD,1.2097820833
09/02/2021 17:44:58,TXMD,BUY,80,2.51,200.79,USD,1.2111320004
09/02/2021 17:48:02,,CASH TOP-UP,,,200.00,USD,1.2109921506
09/02/2021 17:49:23,XPEV,BUY,4.5,46.34,208.53,USD,1.2110421663
09/02/2021 18:34:06,TSLA,SELL,0.16211582,844.70,136.94,USD,1.2105920715
09/02/2021 18:37:45,TSLA,SELL,0.16211583,844.64,136.93,USD,1.2105698405
09/02/2021 18:40:08,V,SELL,0.1172242,207.30,24.30,USD,1.2105920715
09/02/2021 18:40:52,MA,SELL,0.29891065,333.08,99.56,USD,1.2106020724
09/02/2021 18:41:35,V,SELL,0.4,207.15,82.86,USD,1.210677087
09/02/2021 18:43:42,SHOP,SELL,0.01006459,1445.66,14.55,USD,1.2106920907
09/02/2021 18:45:09,AMD,SELL,1.2652622,90.98,115.11,USD,1.2106420805
09/02/2021 18:52:27,ENPH,SELL,0.61603102,199.70,123.02,USD,1.2106920907
09/02/2021 18:54:35,MSFT,SELL,0.07227141,243.25,17.58,USD,1.2106920907
09/02/2021 18:55:08,PLUG,SELL,0.36929286,69.16,25.54,USD,1.2106920907
09/02/2021 19:00:10,MRNA,SELL,0.2,177.85,35.57,USD,1.210742111
09/02/2021 19:00:58,TIGR,SELL,0.23384108,28.27,6.61,USD,1.2108871291
09/02/2021 19:02:26,NVDA,SELL,0.10129192,572.70,58.01,USD,1.2109223204
09/02/2021 20:22:49,TSLA,BUY,0.5,846.70,423.35,USD,1.2119873491
10/02/2021 06:28:11,MA,DIVIDEND,,,0.21,USD,1.2126624844
10/02/2021 15:31:05,TSLA,BUY,0.5,814.26,407.13,USD,1.213495545
10/02/2021 15:36:37,ROKU,SELL,0.17041113,457.83,78.02,USD,1.2136076731
10/02/2021 15:36:51,AAPL,BUY,1,135.59,135.59,USD,1.2135626643
10/02/2021 15:38:08,PLUG,BUY,1,64.60,64.60,USD,1.2134426439
10/02/2021 17:12:45,,CASH TOP-UP,,,50.00,USD,1.2131925906
10/02/2021 17:13:50,TXMD,BUY,20,2.14,42.90,USD,1.2131526017
11/02/2021 14:57:55,,CASH TOP-UP,,,100.00,USD,1.2136876892
11/02/2021 14:58:13,TXMD,BUY,20,1.95,38.98,USD,1.2136426935
12/02/2021 05:50:38,AAPL,DIVIDEND,,,0.70,USD,1.2128425227
16/02/2021 14:46:45,TXMD,SELL,120,1.92,230.41,USD,1.2106820883
16/02/2021 15:09:40,NVAX,SELL,0.33553749,282.50,94.79,USD,1.2111921617
16/02/2021 17:04:04,PLUG,BUY,1,61.08,61.08,USD,1.2110421663
16/02/2021 17:06:47,PLUG,SELL,8,57.01,456.08,USD,1.2110421663
16/02/2021 17:07:37,PLUG,BUY,8,57.69,461.52,USD,1.2108921302
16/02/2021 17:11:40,SPWR,SELL,2,46.42,92.84,USD,1.2108971311
16/02/2021 17:21:04,AAPL,BUY,1,133.42,133.42,USD,1.2108922673
16/02/2021 17:23:05,XPEV,BUY,1,45.22,45.22,USD,1.2109321385
16/02/2021 17:25:48,NVAX,BUY,0.1,269.70,26.97,USD,1.2107921103
16/02/2021 17:50:49,ENPH,BUY,0.5,195.34,97.67,USD,1.21098903
17/02/2021 18:58:41,TIGR,BUY,1,32.50,32.50,USD,1.2039907502
18/02/2021 14:58:15,,CASH TOP-UP,,,300.00,USD,1.2073164151
18/02/2021 14:59:08,SPWR,BUY,2,39.00,78.00,USD,1.2074014321
18/02/2021 15:00:35,XPEV,BUY,0.5,41.92,20.96,USD,1.2076014731
18/02/2021 15:02:36,REGI,BUY,0.79063625,96.20,76.06,USD,1.2075864691
18/02/2021 15:19:09,PLUG,BUY,1,52.00,52.00,USD,1.2066813129
18/02/2021 16:13:29,TIGR,BUY,1,31.00,31.00,USD,1.2075964713
18/02/2021 16:15:30,BLK,BUY,0.06187656,702.69,43.48,USD,1.2077415023
18/02/2021 16:16:34,ENPH,BUY,0.2,179.50,35.90,USD,1.2081915903
18/02/2021 18:15:19,,CASH TOP-UP,,,200.00,USD,1.2082916103
18/02/2021 18:15:37,AAPL,BUY,1,128.65,128.65,USD,1.2082966111
18/02/2021 18:16:54,BLK,BUY,0.05,700.00,35.00,USD,1.2083366191
18/02/2021 18:18:58,GOOGL,BUY,0.00410063,2102.12,8.62,USD,1.2083316191
18/02/2021 20:50:31,SPWR,BUY,1,36.16,36.16,USD,1.2094418513
18/02/2021 20:53:14,,CASH TOP-UP,,,100.00,USD,1.2094068331
18/02/2021 20:53:19,REGI,BUY,0.5,94.14,47.07,USD,1.2094418513
18/02/2021 20:55:31,NIO,BUY,0.57309786,54.39,31.17,USD,1.2094618441
19/02/2021 15:04:26,MRNA,SELL,0.5,173.40,86.70,USD,1.2122924114
19/02/2021 15:06:02,FB,BUY,0.20888313,266.61,55.69,USD,1.2122924114
19/02/2021 15:07:29,NVAX,SELL,0.3,279.37,83.81,USD,1.2125424715
19/02/2021 15:10:38,TEAM,SELL,0.35258417,256.11,90.30,USD,1.2122823752
19/02/2021 15:12:05,V,BUY,0.2,205.05,41.01,USD,1.2123556025
