Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-01-28T14:30:25.648752Z,V,BUY - MARKET,0.24752475,$202,$50,USD,1.2128
2021-01-28T14:33:58.431126Z,BB,BUY - MARKET,5,$18.73,$93.65,USD,1.2137
2021-01-28T14:48:54.643954Z,AMC,BUY - MARKET,15,$14.49,$217.35,USD,1.2137
2021-01-28T14:54:56.320029Z,ADBE,SELL - MARKET,0.2225354,$465.27,$103.53,USD,1.214
2021-01-28T14:55:45.182246Z,AAPL,SELL - MARKET,0.06862425,$138.58,$9.50,USD,1.2139
2021-01-28T14:55:54.800180Z,AMC,BUY - MARKET,15,$14.69,$220.35,USD,1.2138
2021-01-28T15:43:02.820735Z,BABA,SELL - MARKET,0.00738542,$258.62,$1.90,USD,1.2135
2021-01-28T15:45:15.226187Z,BB,BUY - MARKET,10,$14.52,$145.20,USD,1.2136
2021-01-28T15:45:36.825461Z,PLTR,BUY - MARKET,2,$36.95,$73.90,USD,1.2135
2021-01-28T15:51:19.961948Z,AMC,BUY - MARKET,15,$8.39,$125.85,USD,1.2132
2021-01-28T16:24:24.540146Z,PLTR,SELL - MARKET,7.78034682,$34.06,$264.98,USD,1.2127
2021-01-28T16:24:40.753179Z,GME,SELL - MARKET,2,$124.38,$248.75,USD,1.2127
2021-01-28T16:28:39.110681Z,BB,SELL - MARKET,15,$14.01,$210.14,USD,1.2129
2021-01-28T16:29:22.300037Z,AMC,SELL - MARKET,35,$7.01,$245.33,USD,1.213
2021-01-29T17:56:57.108049Z,AMC,SELL - STOP,10,$13.10,$130.99,USD,1.2136
2021-02-01T02:33:34.497429Z,,CUSTODY FEE,,,-$0.04,USD,1.213
2021-02-01T14:31:10.500390Z,PLUG,BUY - MARKET,3.10414403,$64.43,$200,USD,1.2101
2021-02-01T14:31:22.513971Z,ENPH,BUY - MARKET,1.61603102,$185.64,$300,USD,1.2099
2021-02-01T14:32:37.144288Z,BLK,BUY - MARKET,0.08456659,$709.50,$60,USD,1.2097
2021-02-01T15:15:13.359191Z,ADBE,SELL - MARKET,0.2,$462.35,$92.46,USD,1.2095
2021-02-01T15:21:59.904822Z,AAPL,BUY - MARKET,1.1,$132.64,$145.90,USD,1.2099
2021-02-01T15:27:01.218821Z,AG,BUY - MARKET,9,$22.26,$200.34,USD,1.2099
2021-02-01T15:29:00.614354Z,NVAX,BUY - MARKET,0.73553749,$271.91,$200,USD,1.2099
2021-02-01T15:29:18.597068Z,SPWRQ,BUY - MARKET,5,$47.60,$238,USD,1.2099
2021-02-01T15:30:26.506302Z,MRNA,BUY - MARKET,1.2,$164.19,$197.03,USD,1.21
2021-02-01T16:15:27.690511Z,AMC,SELL - MARKET,10,$14.52,$145.19,USD,1.2079
2021-02-02T17:15:40.476880Z,BB,SELL - MARKET,5,$11.67,$58.35,USD,1.2027
