Symbol,Type,Quantity,Price,Value,Fees,Date
UNI,Buy,0.02592528,$38.57,$1.00,$0.01,"May 14, 2021, 9:12:40 AM"
LTC,Buy,0.00309217,$323.40,$1.00,$0.01,"May 14, 2021, 9:16:19 AM"
ADA,Buy,1.0682,$1.87,$2.00,$0.02,"May 14, 2021, 9:25:12 AM"
BCH,Buy,0.00077367,"$1,292.54",$1.00,$0.01,"May 14, 2021, 9:29:49 AM"
BTC,Buy,0.0001999,"$50,025.01",$10.00,$0.14,"May 14, 2021, 9:31:27 AM"
XRP,Buy,1.46735,$1.36,$2.00,$0.02,"May 14, 2021, 9:34:42 AM"
ETH,Buy,0.00206504,"$3,874.02",$8.00,$0.12,"May 14, 2021, 9:46:30 AM"
UNI,Buy,0.02507947,$39.87,$1.00,$0.01,"May 15, 2021, 9:17:51 AM"
LTC,Buy,0.00317286,$315.17,$1.00,$0.01,"May 15, 2021, 9:20:43 AM"
ADA,Buy,0.947722,$2.11,$2.00,$0.02,"May 15, 2021, 9:27:48 AM"
BCH,Buy,0.0007972,"$1,254.39",$1.00,$0.01,"May 15, 2021, 9:31:38 AM"
BTC,Buy,0.0002042,"$48,971.60",$10.00,$0.14,"May 15, 2021, 9:33:06 AM"
XRP,Buy,1.464996,$1.37,$2.00,$0.02,"May 15, 2021, 9:35:53 AM"
ETH,Buy,0.00202072,"$3,958.98",$8.00,$0.12,"May 15, 2021, 9:44:35 AM"
UNI,Buy,0.02572695,$38.87,$1.00,$0.01,"May 16, 2021, 9:13:39 AM"
LTC,Buy,0.0031802,$314.45,$1.00,$0.01,"May 16, 2021, 9:16:39 AM"
ADA,Buy,0.816928,$2.45,$2.00,$0.02,"May 16, 2021, 9:23:55 AM"
BCH,Buy,0.00081156,"$1,232.19",$1.00,$0.01,"May 16, 2021, 9:27:52 AM"
BTC,Buy,0.0002041,"$48,995.59",$10.00,$0.14,"May 16, 2021, 9:29:20 AM"
XRP,Buy,1.276647,$1.57,$2.00,$0.02,"May 16, 2021, 9:32:01 AM"
ETH,Buy,0.00208512,"$3,836.71",$8.00,$0.12,"May 16, 2021, 9:40:48 AM"
UNI,Buy,0.0286971,$34.85,$1.00,$0.01,"May 17, 2021, 9:11:51 AM"
LTC,Buy,0.0034973,$285.93,$1.00,$0.01,"May 17, 2021, 9:15:19 AM"
ADA,Buy,0.920597,$2.17,$2.00,$0.02,"May 17, 2021, 9:23:42 AM"
BCH,Buy,0.00090484,"$1,105.17",$1.00,$0.01,"May 17, 2021, 9:28:25 AM"
BTC,Buy,0.0002229,"$44,863.17",$10.00,$0.14,"May 17, 2021, 9:30:17 AM"
XRP,Buy,1.403805,$1.42,$2.00,$0.02,"May 17, 2021, 9:34:13 AM"
ETH,Buy,0.00229152,"$3,491.13",$8.00,$0.12,"May 17, 2021, 9:45:46 AM"
UNI,Buy,0.02782153,$35.94,$1.00,$0.01,"May 18, 2021, 9:20:28 AM"
LTC,Buy,0.00326909,$305.90,$1.00,$0.01,"May 18, 2021, 9:24:05 AM"
ADA,Buy,0.95272,$2.10,$2.00,$0.02,"May 18, 2021, 9:33:27 AM"
BCH,Buy,0.00088596,"$1,128.72",$1.00,$0.01,"May 18, 2021, 9:38:58 AM"
BTC,Buy,0.0002214,"$45,167.12",$10.00,$0.14,"May 18, 2021, 9:40:59 AM"
XRP,Buy,1.315184,$1.52,$2.00,$0.02,"May 18, 2021, 9:44:53 AM"
ETH,Buy,0.0022812,"$3,506.93",$8.00,$0.12,"May 18, 2021, 9:57:44 AM"
XLM,Buy,15.4703293,$0.65,$10.00,$0.14,"May 18, 2021, 5:47:56 PM"
